emp_no,first_name,last_name,title,to_date
283206,Giap,Mapelli,Staff,1998-05-18
283209,Abdelghani,Seiwald,Senior Staff,1993-06-20
283214,Luise,Badache,Senior Staff,1999-10-08
283215,Mabo,Chelton,Senior Engineer,1995-03-14
283216,Nakhoon,Grospietsch,Senior Engineer,1991-08-08
283217,Manton,Lamparter,Staff,1998-11-17
283224,Sanjiv,Berztiss,Senior Engineer,1992-04-16
283225,Ult,Duclos,Staff,2000-01-21
283226,Takahiro,Rabehasaina,Staff,1993-08-29
283227,Nagui,Sullins,Senior Staff,1991-05-22
283230,Radhia,Krupka,Senior Staff,1999-02-13
283237,Yinlin,Erdmenger,Senior Engineer,1992-07-16
283243,Christoph,Kolinko,Senior Engineer,1994-11-18
283245,Huei,Beidas,Senior Staff,1988-07-03
283247,Mong,Zolotykh,Senior Engineer,1986-12-14
283249,Marsha,Berstel,Engineer,1999-12-20
283253,Kannan,Furudate,Staff,1986-09-12
283254,Olivera,Fritzsche,Assistant Engineer,1994-03-18
283255,Nirmal,Gunderson,Staff,1997-10-01
283256,Greger,Fontan,Staff,1992-03-24
283257,Sampalli,Ozeki,Technique Leader,1990-10-18
283262,Chrisa,Cullers,Senior Staff,1992-01-28
283266,Uzi,Falster,Senior Staff,1997-05-08
283270,Val,Bade,Senior Engineer,2002-01-06
283273,Rimli,Whitcomb,Engineer,1995-07-04
283277,Hatem,Horswill,Senior Engineer,1999-05-03
283278,Arco,Manderick,Engineer,1998-01-02
283282,Eric,Sinicrope,Senior Staff,1989-08-08
283286,Clyde,Shackel,Technique Leader,1992-07-05
283289,Yechezkel,Akaboshi,Senior Staff,1997-01-28
283292,Shaowei,Krogh,Senior Engineer,1992-10-23
283295,Kwangsub,Honglei,Engineer,1994-05-25
283298,Tesuya,Pietrzykowski,Staff,1993-07-06
283303,Domenick,Baez,Senior Staff,2001-02-06
283306,Kendra,Giaccio,Assistant Engineer,1998-02-28
283311,Lucien,Kaelbling,Senior Staff,1995-09-10
283314,Aemilian,Demir,Engineer,1991-08-02
283315,Make,Chimia,Senior Engineer,1994-11-29
283320,Eben,Cyre,Senior Staff,1996-09-26
283323,Masami,Wiegley,Senior Engineer,1996-07-09
283327,Gilbert,Selvestrel,Senior Engineer,1993-07-10
283330,Maha,Kriebel,Senior Staff,1993-10-09
283331,Sreenivas,Moffat,Assistant Engineer,1992-10-19
283337,True,Bernatsky,Senior Engineer,1994-04-23
283341,Geoffry,Bahk,Senior Engineer,1995-05-28
283345,Bodh,Frezza,Senior Engineer,2001-12-26
283349,Elgin,Zolotykh,Senior Engineer,1994-03-15
283354,Lansing,Pellegrinelli,Senior Engineer,2001-12-25
283356,Ingemar,Zirintsis,Senior Engineer,2000-09-12
283362,Mrinalini,Smailagic,Senior Staff,2000-02-11
283374,Mohammed,Zaumen,Senior Staff,1991-10-05
283375,Jovan,Pauthner,Staff,1997-07-25
283381,Munir,Cannata,Senior Engineer,1995-03-07
283382,Guozhong,Kleiser,Senior Engineer,1993-11-04
283386,Dines,Calkin,Senior Staff,1991-10-28
283387,Danae,Bahi,Senior Staff,1989-12-29
283389,Kristine,Ertl,Staff,1999-12-16
283391,Tsutomu,Seghrouchni,Assistant Engineer,1995-10-16
283392,Chiranjit,Cheshire,Staff,1990-09-18
283393,Gladys,Fraisse,Senior Engineer,1995-03-23
283394,Rutger,Lunn,Senior Engineer,1998-11-25
283396,Kankanahalli,Zucker,Senior Engineer,2001-01-30
283399,Fumiyo,Argence,Engineer,1993-05-12
283400,Shim,Polupanov,Senior Staff,1991-03-01
283406,Zongyan,Leaver,Senior Engineer,1995-02-18
283409,Khalid,Pramanik,Staff,1998-04-06
283415,Serap,Melski,Senior Engineer,1998-09-10
283417,Hairong,Demizu,Engineer,1999-01-01
283418,Aemilian,Ferretti,Senior Engineer,1995-08-22
283421,Basim,Picht,Senior Engineer,2002-03-22
283423,Alper,Merel,Senior Engineer,1989-10-01
283424,Huei,Businaro,Senior Staff,1995-05-12
283425,Heon,Socorro,Staff,1990-08-21
283427,Iara,Heydon,Senior Engineer,1994-06-29
283428,Ramachenga,Peot,Senior Staff,1994-06-25
283429,Odoardo,Narlikar,Engineer,1999-11-11
283435,Takahiro,Schmezko,Senior Staff,2001-04-29
283438,Heekeun,Nastansky,Senior Engineer,1993-12-27
283442,Mohit,Cincotta,Senior Staff,1994-06-05
283443,Frederique,Wilfing,Senior Staff,2000-12-09
283450,IEEE,Olano,Senior Engineer,1996-12-31
283454,Debatosh,Massonet,Senior Staff,1994-02-10
283470,Eric,Norsworthy,Senior Engineer,1996-08-19
283471,Irena,Kuzuoka,Senior Engineer,1992-05-05
283475,Feiyu,Mitina,Senior Engineer,1989-08-29
283486,Mokhtar,Kampfer,Senior Engineer,1992-08-28
283495,JoAnne,Trogemann,Staff,1997-12-30
283496,Kenroku,Flasterstein,Senior Staff,2002-05-15
283497,Nakhoon,Ibel,Staff,1993-03-18
283504,Koldo,Jeong,Senior Staff,1995-01-26
283509,Kensyu,DeMori,Staff,1995-04-11
283511,Mingsen,Genin,Staff,1996-12-17
283513,Elzbieta,Anguita,Senior Staff,2002-02-15
283515,Sverrir,Naudin,Senior Staff,2001-01-15
283518,Uinam,Gide,Technique Leader,1997-12-23
283524,Koldo,Goldhammer,Senior Engineer,2001-08-27
283527,Atreyi,Radivojevic,Senior Engineer,1996-01-27
283529,Lucien,Ertl,Senior Staff,2001-05-26
283536,Yongqiao,Marwedel,Engineer,1998-07-02
283538,Lakshmi,Luders,Technique Leader,1994-12-16
283542,Chandrasekaran,Benveniste,Senior Engineer,1990-11-02
283543,Suebskul,Nastansky,Staff,1997-05-29
283544,Jeanne,Rehfuss,Senior Staff,1999-10-27
283546,Subhankar,Showalter,Senior Staff,1999-04-16
283547,Shigeo,Hammerschmidt,Engineer,1997-12-13
283549,Nagui,Eldridge,Staff,1991-03-18
283551,Gererd,Poehlman,Senior Engineer,1997-04-01
283553,Tristan,Bodoff,Staff,1998-09-26
283554,Jouni,Chachaty,Senior Engineer,1998-04-03
283555,Luerbio,Foote,Senior Staff,1995-07-30
283556,Nathalie,Garnick,Staff,1995-08-19
283557,Hironobu,Teitelbaum,Staff,1998-09-21
283559,Odoardo,Solovay,Senior Staff,1997-09-02
283565,Chinya,Junet,Senior Staff,1998-05-05
283568,Abdulla,Zallocco,Senior Staff,1992-09-15
283569,Ulf,Bernick,Engineer,1989-04-12
283573,Martine,Flanders,Senior Staff,1992-11-14
283576,Adel,Vadhan,Senior Engineer,1994-02-19
283578,Taizo,Uludag,Staff,1997-08-16
283582,Pragnesh,Decleir,Engineer,2002-04-16
283583,Sadun,Rettelbach,Senior Engineer,1997-05-18
283589,Ravishankar,Lamparter,Staff,1992-06-07
283599,Radoslaw,Remmers,Staff,1996-03-27
283601,Uno,Cunliffe,Senior Engineer,1991-04-19
283602,Jixiang,Rodham,Engineer,1999-06-30
283603,Jasminko,Kavvadias,Senior Staff,2002-05-20
283609,Guadalupe,Szilard,Staff,2000-01-19
283612,Valeska,Auyong,Engineer,1993-03-08
283616,Yurii,Schreiter,Senior Engineer,1999-12-11
283621,Ranan,Pehl,Senior Staff,1992-06-24
283625,Lihong,Zlotek,Staff,1996-09-09
283626,Sham,Juneja,Staff,1998-08-05
283641,Anwar,Siprelle,Senior Staff,2001-09-28
283642,Mayuri,Hasenauer,Senior Engineer,1996-02-21
283646,Aimee,Schnabel,Senior Staff,1997-12-08
283649,Maren,Frolund,Senior Engineer,1994-06-05
283653,Neelam,Camurati,Senior Staff,1992-01-31
283655,Souichi,Akazan,Senior Staff,1990-01-03
283657,Willard,Barbanera,Senior Staff,1995-08-12
283658,Ung,Aloia,Senior Staff,2002-07-11
283661,Bodh,Fiebach,Engineer,1994-08-29
283662,Srinidhi,Spell,Senior Engineer,1999-05-09
283665,Kristina,Ghazalie,Senior Engineer,2001-02-22
283673,Tadanori,Litecky,Senior Engineer,1993-05-09
283678,Aram,Byoun,Senior Engineer,1998-12-01
283687,Palash,Schurmann,Engineer,1997-07-18
283688,Bojan,Busillo,Engineer,1997-09-22
283689,Angus,Nyanchama,Senior Engineer,1997-06-06
283691,Licheng,Reinhart,Senior Engineer,1987-05-15
283698,Frazer,Delgrossi,Senior Staff,1997-12-11
283699,Xiaopeng,Welham,Senior Staff,2001-06-06
283700,Youngkon,Calkin,Engineer,1995-09-19
283709,Bartek,Bashian,Senior Engineer,2000-01-10
283711,Hauke,Auria,Senior Engineer,2001-11-09
283716,Greger,Hoogerwoord,Senior Engineer,1998-09-26
283718,Joydip,Oehlmann,Staff,1998-11-29
283721,Yuguang,Driscoll,Senior Engineer,1997-05-25
283722,Stabislas,Schiper,Engineer,1990-10-27
283724,Phuoc,Suri,Senior Engineer,1985-11-12
283726,Arun,Hiroyama,Engineer,1997-12-01
283740,Stella,Selenyi,Senior Staff,1996-04-24
283757,Tonia,Bennet,Senior Engineer,1995-02-12
283762,Mitchel,Yetto,Senior Staff,1992-09-13
283764,Arif,Oxman,Senior Staff,1999-09-10
283766,Shuky,Iwayama,Engineer,1997-03-06
283768,Mayuri,Boreale,Senior Staff,1997-04-11
283770,Takahira,Bale,Senior Engineer,1985-12-13
283777,Nectarios,Sridhar,Engineer,1995-06-13
283783,Lubomir,Iivonen,Senior Engineer,1988-10-04
283789,Navid,Piveteau,Senior Staff,1997-05-24
283797,Utz,Ellozy,Staff,1997-03-01
283804,Aran,Koprowski,Senior Engineer,1992-03-04
283805,Yechezkel,Kroha,Senior Engineer,1994-10-20
283810,Conor,Maliniak,Technique Leader,1998-07-15
283813,Arnould,Kornyak,Senior Staff,1994-04-22
283819,Martijn,Janetzko,Staff,1998-06-19
283820,Tonia,Talmor,Senior Engineer,1997-12-06
283821,Jianwen,Schicker,Assistant Engineer,1996-03-13
283822,Nadjib,Stentiford,Technique Leader,1997-01-04
283825,Moto,Srimani,Senior Engineer,1997-01-01
283826,Yahiko,Kaelbling,Senior Engineer,1993-02-07
283827,Waiman,Ciolek,Staff,1996-04-21
283828,Dannz,Portugali,Staff,1998-10-06
283829,Along,Niizuma,Senior Staff,1988-01-16
283830,Martina,Marwedel,Senior Staff,1992-11-26
283833,Nikolaos,Etalle,Senior Engineer,1994-09-03
283840,Shuzo,Menyhert,Assistant Engineer,1999-03-16
283841,Yuqun,Erman,Staff,1999-12-17
283844,Charlene,Cincotta,Senior Staff,2000-10-04
283846,Hatem,Cesareni,Assistant Engineer,1993-08-28
283847,Fai,Barriga,Senior Staff,1985-04-29
283848,Zeydy,Baaz,Senior Engineer,1994-05-27
283852,Arfst,Waterhouse,Senior Staff,1998-12-27
283854,Richara,Aloisi,Senior Staff,1996-05-21
283855,Yuchang,Klassen,Senior Engineer,1996-11-13
283858,Lorien,Egerstedt,Senior Staff,1996-02-24
283862,Martijn,Wroclawski,Staff,1995-05-25
283871,Geraldo,Porotnikoff,Senior Staff,1998-07-02
283872,Aleksander,Vieri,Senior Engineer,1990-01-09
283876,Persi,Rouquie,Staff,1987-11-28
283886,Thanasis,Jeansoulin,Senior Staff,2002-01-09
283894,Chinhyun,Seuren,Senior Engineer,1988-09-12
283895,Baocai,Veeraraghavan,Engineer,1997-08-24
283899,Tsutomu,Salvesen,Senior Engineer,1995-10-07
283900,Shaunak,Gist,Engineer,1996-03-01
283901,Aloke,Vingron,Engineer,1999-10-15
283906,Alejandra,Vandervoorde,Senior Engineer,1999-08-05
283915,Geoffry,DeMori,Engineer,1986-06-13
283917,Conor,Morrey,Engineer,1997-08-01
283920,Tomoyuki,Demian,Staff,1996-06-25
283925,Adit,Selvestrel,Senior Staff,1999-01-03
283927,Taiji,Kolinko,Staff,1997-12-04
283933,Lihong,Hofmeyr,Senior Staff,1991-04-20
283934,Boutros,Emden,Engineer,1997-04-12
283939,Falguni,Perin,Engineer,1992-12-29
283942,Ibibia,Kieras,Senior Staff,2001-12-18
283948,Mats,Vanwelkenhuysen,Senior Staff,1995-09-24
283949,Ioana,Kroft,Senior Staff,1994-07-17
283950,Danco,Esposito,Senior Engineer,2000-08-02
283951,Ramachenga,Marrevee,Senior Engineer,2002-03-22
283952,Maya,Hoogerwoord,Senior Engineer,1997-03-02
283953,Szabolcs,Raczkowsky,Senior Staff,2000-09-26
283955,Krister,Hiltgen,Engineer,1998-11-06
283957,Marie,Fujisaki,Senior Staff,1997-07-20
283959,Heather,Comyn,Senior Engineer,1986-01-27
283960,Khaled,Alblas,Engineer,1995-08-01
283962,Lucian,Snedden,Engineer,1996-05-25
283965,Alain,Lung,Staff,1995-07-03
283967,Mang,Gecsei,Staff,1996-04-17
283970,Tamiya,Asmuth,Senior Engineer,1995-01-10
283972,Kwangho,Kenevan,Senior Engineer,1992-03-08
283974,Shai,Begiun,Staff,1995-12-01
283977,Erzsebet,Cappello,Staff,1994-11-16
283980,Shahab,Herbst,Senior Engineer,1995-03-06
283988,Dhritiman,Swen,Staff,1997-03-11
283989,Lorien,Nollmann,Engineer,1997-11-30
283991,Leon,Conia,Senior Staff,1987-10-07
283992,Erez,Jayawardene,Staff,1995-10-13
283994,Shrikanth,Kilgore,Senior Staff,1990-02-02
283999,Herb,Argence,Senior Engineer,1997-02-01
284001,Divine,Kusalik,Senior Engineer,1995-10-12
284007,Seshu,Compeau,Staff,1997-12-23
284010,Maia,Danley,Senior Engineer,2001-01-02
284016,Oscal,Karcich,Engineer,1999-05-18
284017,True,Godskesen,Senior Staff,1995-10-06
284028,Gererd,Engberts,Senior Staff,1994-02-02
284030,Geraldo,Alvarado,Senior Staff,1991-07-07
284032,Rayond,Ranum,Senior Engineer,1990-07-08
284033,Shugo,Berstel,Senior Staff,1997-11-23
284034,Martins,Erde,Engineer,1994-09-09
284038,Masanao,Shiratori,Staff,1995-09-23
284043,Xudong,Leslie,Assistant Engineer,1997-07-07
284048,Moheb,Litecky,Senior Staff,2001-11-08
284049,Nakhoon,Orlowska,Engineer,1985-08-05
284050,Haldon,Maginnis,Senior Staff,1999-02-08
284056,Tze,Ambroszkiewicz,Senior Engineer,2002-05-27
284063,Persi,Dratva,Senior Staff,1986-08-08
284064,Takahiro,Gill,Senior Staff,1990-10-14
284067,Radhika,Gruenwald,Senior Engineer,1996-12-22
284073,Kazunori,Marakhovsky,Senior Engineer,1992-08-04
284077,Sahrah,Wilharm,Senior Staff,1995-06-14
284079,Roddy,Himler,Senior Staff,1989-08-22
284080,Hitomi,McClurg,Engineer,1996-03-17
284081,Deniz,Kampfer,Staff,1999-02-17
284083,Kannan,Ritcey,Senior Staff,1998-03-25
284084,Nakhoon,Hockney,Technique Leader,1990-09-19
284085,Oscal,Fandrianto,Senior Engineer,1992-05-24
284087,Anoosh,Sullins,Senior Engineer,1994-06-10
284088,Katsuyuki,DasSarma,Engineer,1999-04-13
284091,Jianhua,Kranzdorf,Senior Staff,1993-02-18
284095,Tran,Siochi,Senior Staff,1995-01-23
284099,Masali,Gluchowski,Senior Engineer,1995-11-08
284100,Ortrud,Erni,Senior Engineer,1999-12-10
284102,Conrado,Basart,Engineer,1995-04-20
284106,Tamiya,Brickell,Senior Engineer,2001-04-04
284108,Jinxi,Kalloufi,Senior Engineer,2001-12-13
284109,Irena,Seuren,Senior Staff,1996-06-20
284111,Anyuan,Veldwijk,Staff,1993-09-01
284118,Toshimo,Lorho,Senior Engineer,1994-03-05
284119,Baoqiu,Rathonyi,Engineer,1996-02-08
284139,Zissis,Coombs,Senior Engineer,1995-07-12
284140,Sungwon,Anguita,Staff,1997-09-21
284143,Tran,Kobara,Senior Engineer,1991-05-27
284145,Herb,Cronan,Senior Staff,1999-12-06
284146,Jouni,Peot,Senior Engineer,1990-05-15
284150,Along,Bail,Senior Staff,1995-03-22
284152,Katsuyuki,Acton,Senior Engineer,1999-01-25
284155,Xiping,Puppe,Senior Engineer,1994-02-06
284156,Nechama,Ananiadou,Senior Engineer,1994-04-14
284158,Sumant,Legleitner,Senior Staff,1989-01-08
284159,Keung,Talmor,Senior Engineer,1996-11-17
284161,Kazuhide,Hiroyama,Staff,1994-09-03
284163,JoAnna,Cromarty,Senior Engineer,1996-01-14
284165,Bezalel,Ratzlaff,Senior Engineer,1998-09-16
284167,Abdelghani,Merle,Senior Staff,1995-05-08
284170,Panayotis,Morris,Technique Leader,1985-12-01
284171,Pohua,Sudkamp,Senior Staff,1998-10-10
284173,Sarita,Cools,Senior Engineer,1996-04-19
284178,Zejun,Lung,Senior Engineer,1991-06-29
284184,Sahrah,Pero,Senior Staff,1999-11-29
284185,Jouni,Billingsley,Technique Leader,1987-12-09
284188,Bilhanan,Gajiwala,Engineer,1992-09-19
284195,Mona,Bouloucos,Senior Staff,2001-09-01
284196,Parto,Krichel,Senior Engineer,1994-10-13
284197,Dinah,Dalphin,Senior Engineer,2002-05-15
284198,Fei,Miake,Senior Staff,1986-02-24
284201,Shmuel,Gils,Senior Engineer,1998-02-26
284203,Subhankar,Weisert,Senior Staff,1992-03-07
284204,Uli,Lienhardt,Senior Staff,1997-04-04
284205,Valter,Falco,Engineer,1997-06-05
284210,Dante,Weisert,Senior Engineer,1994-02-27
284211,Kiyokazu,Baek,Senior Staff,1998-03-14
284212,Candida,Pollacia,Senior Engineer,2001-09-01
284217,Eirik,Salvesen,Engineer,1997-01-22
284221,Mostafa,Veldwijk,Senior Engineer,1986-08-10
284223,Lena,Valiente,Senior Staff,1998-08-29
284225,Val,Pulkowski,Staff,1997-01-19
284228,Fuqing,Pelc,Staff,1993-12-08
284234,Yongmin,Rullman,Senior Staff,1992-07-19
284235,Barna,Stentiford,Senior Engineer,1998-08-26
284243,Pohua,Chorvat,Technique Leader,1986-08-17
284246,Zijian,Poujol,Staff,1998-04-22
284247,Slavian,Cummings,Staff,1999-08-11
284248,Uta,Thimonier,Senior Staff,2000-04-26
284250,Munehiko,Baby,Senior Staff,1996-12-11
284253,Shrikanth,Papsdorf,Senior Engineer,1986-04-05
284263,Phuoc,Juneja,Staff,1997-06-24
284264,Kayoko,Jarecki,Senior Engineer,1988-03-28
284265,Christoph,Lubachevsky,Senior Staff,1996-08-08
284271,Kwan,Danecki,Senior Engineer,2000-11-26
284272,Kwee,Jayawardene,Staff,1998-09-30
284277,Kristen,Broomell,Senior Engineer,1990-06-26
284278,Katsuyuki,Leppanen,Senior Staff,1993-10-11
284297,Niteen,Emmerich,Senior Engineer,1997-11-08
284304,Nirmal,Malabarba,Engineer,1997-09-28
284305,Mohammad,Pezzoli,Staff,1994-08-22
284306,Katsuyuki,Birrer,Senior Engineer,1985-09-09
284319,Zissis,Suppi,Assistant Engineer,1998-11-15
284321,Sasan,Pintelas,Staff,1999-06-01
284324,Sajjad,Weedon,Senior Staff,1993-11-10
284327,Kwangyoen,Emmerich,Engineer,1998-11-26
284330,Bangqing,Pehl,Engineer,1996-09-30
284334,Alper,Stifter,Technique Leader,1986-09-18
284336,Yechiam,Gornas,Senior Engineer,1987-01-17
284338,Arra,Montresor,Engineer,1987-02-05
284341,Krister,Matzov,Senior Staff,1999-06-18
284342,Mahmut,Dulin,Engineer,1998-07-12
284343,Jeanne,Velardi,Senior Engineer,2001-12-09
284354,Xiaopeng,Pileggi,Engineer,1996-02-26
284359,Shaowen,Warwick,Senior Staff,1995-10-08
284360,Kwun,Sommen,Technique Leader,1988-10-08
284370,Goncalo,Douceur,Staff,1997-06-19
284385,Xiaocheng,Marletta,Staff,1999-04-09
284386,Kinh,Slobodova,Senior Staff,1994-02-18
284391,Berto,Bennet,Technique Leader,1987-12-31
284393,Ronghao,Passafiume,Senior Engineer,1996-08-14
284394,Collette,Fontet,Senior Engineer,1992-12-14
284397,Yuqun,Cunliffe,Engineer,1999-05-05
284401,Xiaoqiang,Georgatos,Senior Staff,1997-11-05
284405,Claudi,Yemenis,Staff,1995-07-25
284411,True,Lorin,Senior Engineer,1994-06-25
284416,Uinam,Clouatre,Engineer,1998-05-18
284421,Shakhar,Pokrovskii,Engineer,1995-08-24
284423,Sudharsan,Szmurlo,Senior Staff,1986-03-06
284429,Berna,Uludag,Senior Engineer,1993-06-30
284430,Sugwoo,Gihr,Engineer,1996-07-11
284432,Luigi,Ishibashi,Technique Leader,1992-09-07
284434,Kazunori,Bellmore,Senior Engineer,2000-12-28
284439,Bodh,Savasere,Staff,1998-07-16
284440,Hugo,Buescher,Senior Engineer,1998-08-29
284441,Guenter,England,Engineer,1998-05-22
284442,Lokesh,Stellhorn,Senior Staff,1998-11-02
284444,Joydip,Pietracaprina,Senior Engineer,2000-07-28
284445,Mani,Eldridge,Staff,1998-09-21
284449,Berna,McFarlin,Senior Staff,1998-02-20
284453,Koichi,Tasistro,Staff,1989-12-22
284454,Ravishankar,Leppanen,Senior Engineer,1991-09-22
284457,Eric,Luders,Senior Staff,1992-03-22
284459,Souichi,Waeselynck,Senior Engineer,1995-11-26
284463,Sajjan,Lorho,Senior Staff,1998-03-27
284465,Aria,Rosiles,Engineer,1998-12-18
284471,Seshu,Conti,Senior Staff,1997-07-13
284474,Mona,Petersohn,Senior Staff,1992-02-22
284475,Sukumar,Garnier,Senior Engineer,1996-01-04
284484,Zhenhua,Stamatiou,Senior Engineer,1996-02-03
284485,Rosalyn,Comellas,Engineer,2001-01-20
284491,Luerbio,Schade,Senior Engineer,1998-01-28
284492,Armond,Birsak,Senior Staff,1994-09-19
284502,Honglan,Siprelle,Engineer,1997-06-07
284507,Mansur,Litzler,Technique Leader,1998-12-21
284511,Doohun,Fraisse,Engineer,1987-09-13
284515,Shuzo,Salverda,Senior Staff,1998-02-02
284516,Anyuan,Borstler,Senior Engineer,1992-09-23
284517,Mihalis,Jonsson,Senior Engineer,1999-05-13
284523,Dines,Rosenbaum,Engineer,1996-04-30
284527,Srinidhi,Szilard,Senior Staff,1995-04-01
284529,Berry,Danlos,Senior Engineer,1993-12-08
284530,Almudena,Borstler,Senior Engineer,2002-03-23
284532,KayLiang,Dratva,Engineer,1999-04-05
284534,Kazuhiro,VanScheik,Senior Engineer,2000-08-26
284535,Tianruo,Zielinski,Senior Engineer,2001-10-20
284537,Richara,Perry,Senior Staff,2001-04-26
284538,Joydip,Leaver,Engineer,1997-07-20
284543,Kazuhito,Danlos,Engineer,1997-11-05
284546,Sadok,Ouhyoung,Senior Engineer,1999-04-08
284548,Erzsebet,Boudaillier,Engineer,1999-05-15
284550,Kolar,Gimbel,Senior Engineer,2001-10-15
284552,Manton,Lortz,Engineer,1998-09-01
284557,Inderjeet,Lichtner,Staff,1998-03-13
284559,Danny,Sooriamurthi,Senior Engineer,1999-12-08
284560,Adin,Valiente,Staff,1996-05-22
284572,Piyush,Luan,Senior Staff,1997-07-07
284573,Fei,Siksek,Senior Engineer,1987-09-06
284579,Paddy,Kambil,Senior Staff,1994-01-05
284580,Sreenivas,Quittner,Senior Engineer,2001-12-24
284582,Cullen,Gils,Senior Staff,1990-06-09
284584,Suvo,Wegerle,Senior Engineer,1993-01-01
284587,Basil,Siegrist,Senior Engineer,1990-08-17
284588,Erzsebet,Braunschweig,Senior Staff,1996-03-02
284589,Ult,Kaiserswerth,Senior Staff,1993-02-12
284592,Angus,Montresor,Staff,1999-09-20
284593,Torsten,Merks,Senior Staff,1992-08-11
284594,Sahrah,Rouquie,Senior Staff,1993-05-26
284597,Marie,Ananiadou,Engineer,1997-05-20
284599,Sven,Bahk,Senior Engineer,1994-01-23
284602,Bojan,Champarnaud,Senior Staff,1995-04-22
284603,Zijian,Besselaar,Senior Staff,1995-09-23
284611,Hyuncheol,Salinas,Technique Leader,1999-10-30
284616,Claude,Tchuente,Staff,1997-07-04
284617,Zhanqiu,Pell,Senior Engineer,1994-10-18
284621,Gino,Goldhammer,Staff,1994-06-07
284622,Deborah,Worfolk,Senior Staff,1988-12-14
284624,Evgueni,Vuskovic,Staff,1999-02-27
284627,Werner,Itzfeldt,Staff,1995-02-22
284631,Alois,Kieras,Senior Staff,1985-07-28
284632,Guozhong,Borstler,Senior Engineer,1990-05-08
284635,Hongzhu,Rodite,Senior Engineer,1997-07-04
284637,Odoardo,Avouris,Senior Staff,1992-02-19
284639,Marlo,Piveteau,Staff,1997-09-22
284642,Karlis,Vandervoorde,Senior Staff,1995-12-20
284651,Xiaoshan,Riefers,Engineer,1991-06-15
284652,Pranas,Compeau,Senior Engineer,1986-10-02
284654,Becky,Decleir,Technique Leader,1985-03-26
284655,Mohd,Nanard,Senior Staff,1985-09-13
284657,Ipke,Chaudhury,Senior Staff,1999-02-22
284662,Mrinalini,Schahn,Senior Staff,1995-07-20
284663,Ronnie,Cheshire,Senior Engineer,1993-05-04
284667,Jacqueline,Menhardt,Senior Staff,1995-11-29
284669,Genevieve,Tagansky,Engineer,1999-01-30
284670,Steen,Rissanen,Senior Engineer,1990-05-02
284672,Shawna,Laurillard,Staff,1997-03-08
284673,Maia,Ghandeharizadeh,Senior Engineer,1995-07-09
284674,Krassimir,Monarch,Senior Staff,1996-01-01
284677,Richara,Eastman,Staff,1996-04-27
284682,Gad,Rabejac,Senior Staff,1996-05-13
284692,Jagoda,Cannata,Senior Staff,2001-09-21
284696,Rasikan,Basart,Staff,1994-09-16
284698,Mostafa,Nyanchama,Engineer,1998-05-03
284699,Tommaso,Biros,Engineer,2000-01-08
284705,Gila,Anandan,Senior Engineer,1993-04-04
284710,Randy,Gniady,Senior Staff,1999-06-22
284712,Ayakannu,Rindone,Senior Staff,1986-09-06
284714,Sadok,Mitchem,Engineer,1998-12-28
284720,Heping,Falster,Senior Staff,1991-07-30
284726,Yongmao,Christ,Staff,1997-06-16
284728,Aris,Legleitner,Senior Staff,1995-10-13
284730,Harngdar,Constantine,Staff,1997-11-26
284733,Kirk,Whitcomb,Engineer,1999-01-06
284738,Shay,Lichtman,Senior Engineer,1997-01-22
284745,Arno,Jeong,Senior Staff,1998-01-19
284746,Torsten,Dusink,Senior Staff,1988-06-09
284748,Jayson,Ozeki,Senior Staff,1994-06-29
284749,Kwangho,Schaad,Engineer,1989-10-13
284752,Aemilian,Schaad,Senior Staff,1993-10-08
284758,Odoardo,Krichel,Senior Staff,2001-04-03
284762,Chinho,Akiyama,Senior Engineer,1997-10-10
284763,Danco,Katzenelson,Senior Staff,2001-06-03
284774,Genta,Vural,Staff,1997-05-16
284780,Mingdong,Journel,Senior Engineer,1996-01-18
284782,Wojceich,Baaz,Staff,1996-04-07
284783,Shahab,Assaf,Senior Engineer,1996-02-15
284785,Seshu,Vilarrasa,Staff,1999-11-05
284786,Wojceich,Piveteau,Senior Staff,2001-04-25
284789,Hugo,Pulkowski,Senior Engineer,2001-08-19
284797,Fumitaka,Fritzsche,Senior Engineer,1998-03-01
284799,Goa,Danlos,Engineer,1995-05-10
284802,Dinkar,Heystek,Senior Staff,1993-04-20
284803,Suebskul,Chinal,Senior Staff,1988-04-16
284805,Kyoichi,Yavatkar,Senior Engineer,1997-02-05
284809,Tru,Danner,Senior Engineer,2002-04-30
284812,Arco,Erie,Senior Engineer,1998-01-27
284813,Geraldo,Ramamoorthy,Senior Staff,1996-06-07
284818,Aron,Lortz,Senior Engineer,1997-02-12
284821,Charlene,Gadepally,Senior Staff,1994-12-31
284822,Aiichiro,Dayang,Technique Leader,1989-11-26
284824,Nahum,Ligten,Staff,1996-03-21
284828,Danil,Iacovou,Senior Staff,1991-01-29
284829,Tetsurou,Garnick,Senior Engineer,1993-12-14
284830,Stafford,Luff,Senior Staff,1987-06-04
284832,Sashi,Cullers,Engineer,2000-08-13
284834,Doowon,Rohrbach,Senior Staff,1995-08-16
284839,Fatemeh,Giaccio,Senior Engineer,1991-12-14
284847,Shugo,Seghrouchni,Senior Engineer,1996-11-16
284851,Valter,Genther,Senior Engineer,1991-03-21
284859,Alassane,Krogh,Senior Engineer,1994-09-22
284865,Dipankar,Siprelle,Senior Engineer,1999-10-09
284873,Adly,Perri,Technique Leader,1995-08-21
